participant_id,group,condition,accuracy,mean_confidence,calibration_error,median_rt
10,group_2,explained,0.3,3.8,0.36613999999999997,24.4975
10,group_2,unexplained,0.2,3.4,0.31507999999999997,7.6765
109,group_1,explained,0.6,3.4,0.3562933333333333,3.5155
109,group_1,unexplained,0.9,3.4,0.3160733333333333,4.2115
110,group_1,explained,0.8,3.2,0.18545333333333333,32.606
110,group_1,unexplained,0.8,3.4,0.22598,15.413499999999999
111,group_2,explained,0.5,3.0,0.18956666666666666,25.1665
111,group_2,unexplained,0.6,3.0,0.2055333333333333,24.130499999999998
119,group_2,explained,0.6,3.5,0.30662,9.71
119,group_2,unexplained,0.6,3.2,0.24193333333333333,5.477
123,group_2,explained,0.6,3.0,0.18956666666666666,3.303
123,group_2,unexplained,0.6,3.0,0.2055333333333333,3.026
124,group_2,explained,0.8,3.3,0.24226,23.7765
124,group_2,unexplained,0.1,3.0,0.2055333333333333,9.507
132,group_2,explained,0.5,3.2,0.2562333333333333,21.1
132,group_2,unexplained,0.2,3.1,0.21006,8.6215
141,group_1,explained,0.4,3.4,0.2862733333333333,9.6025
141,group_1,unexplained,0.4,3.3,0.23995333333333332,7.918
18,group_2,explained,0.9,3.1,0.17559333333333332,11.939
18,group_2,unexplained,0.6,2.9,0.23886666666666664,7.3415
2,group_2,explained,0.9,3.1,0.1908933333333333,12.104
2,group_2,unexplained,0.6,3.1,0.2038333333333333,11.088000000000001
21,group_1,explained,0.5,3.0,0.2055333333333333,12.8855
21,group_1,unexplained,0.6,3.0,0.18956666666666666,6.473000000000001
24,group_2,explained,0.3,1.9,0.27402000000000004,5.937
24,group_2,unexplained,0.2,1.1,0.5549666666666666,10.096499999999999
34,group_2,explained,0.7,3.6,0.4008933333333333,14.022
34,group_2,unexplained,0.6,3.3,0.2347533333333333,7.9885
35,group_2,explained,0.5,3.1,0.3704466666666667,4.1015
35,group_2,unexplained,0.0,2.8,0.18824666666666667,3.583
48,group_2,explained,0.3,3.5,0.4282,10.922
48,group_2,unexplained,0.3,2.5,0.39264666666666664,9.506499999999999
49,group_1,explained,0.3,2.9,0.33072666666666667,8.9845
49,group_1,unexplained,0.5,3.0,0.20169333333333334,5.707
56,group_2,explained,0.8,3.1,0.26493333333333335,20.6995
56,group_2,unexplained,0.8,3.0,0.17056,8.7605
58,group_1,explained,0.3,4.0,0.4894866666666666,24.052
58,group_1,unexplained,0.5,4.0,0.47328666666666663,13.068
59,group_1,explained,0.2,2.2,0.3840533333333333,12.942
59,group_1,unexplained,0.3,1.6,0.4799666666666667,8.595
61,group_2,explained,0.5,3.2,0.39348,12.347000000000001
61,group_2,unexplained,0.4,3.5,0.32719333333333334,6.2490000000000006
65,group_1,explained,0.3,3.1,0.23886666666666664,9.5445
65,group_1,unexplained,0.2,3.0,0.18956666666666666,6.665
68,group_1,explained,0.1,3.0,0.2055333333333333,4.676
68,group_1,unexplained,0.3,3.0,0.18956666666666666,5.567
71,group_1,explained,0.2,3.7,0.45743333333333325,12.738
71,group_1,unexplained,0.5,4.1,0.5202533333333333,9.8275
73,group_2,explained,0.2,3.0,0.18956666666666666,5.23
73,group_2,unexplained,0.6,3.0,0.2055333333333333,8.225999999999999
81,group_1,explained,0.4,4.0,0.47077333333333327,11.536000000000001
81,group_1,unexplained,0.4,3.6,0.5297666666666666,8.6955
84,group_2,explained,0.3,3.3,0.24226,10.224
84,group_2,unexplained,0.4,3.0,0.2055333333333333,6.1155
87,group_2,explained,1.0,3.6,0.34226,9.914
87,group_2,unexplained,0.8,3.4,0.33886666666666665,9.144
88,group_1,explained,0.5,5.0,0.7450333333333333,7.599
88,group_1,unexplained,0.5,5.0,0.7593133333333333,5.4045000000000005
90,group_2,explained,1.0,3.6,0.37712,31.711
90,group_2,unexplained,1.0,2.7,0.34961333333333333,9.008500000000002
94,group_2,explained,0.4,3.0,0.18956666666666666,10.129999999999999
94,group_2,unexplained,0.5,3.0,0.2055333333333333,6.996
95,group_2,explained,0.4,2.9,0.27024666666666664,13.5565
95,group_2,unexplained,0.3,3.5,0.31960666666666665,8.854
98,group_1,explained,0.2,3.8,0.36882000000000004,16.490499999999997
98,group_1,unexplained,0.8,3.1,0.22290000000000001,5.4505
