timestamp_utc,participant_id,group,scenario_id,trial_index,condition,signal_shown,confidence_shown,decision,confidence_rating,response_time_seconds,actual_outcome,actual_decision,model_correct,decision_correct,model_recommended_decision,agrees_with_model
2026-08-09 17:58:31.964510,02,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,buy,4,71.191,down,sell,False,False,buy,True
2026-08-09 17:58:45.047146,02,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,sell,3,12.117,up,buy,False,False,sell,True
2026-08-09 17:58:53.160679,02,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,7.327,up,buy,False,False,hold,True
2026-08-09 17:59:56.908508,02,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,sell,2,62.459,flat,hold,False,False,sell,True
2026-08-09 18:00:09.894806,02,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,buy,3,12.091,up,buy,False,True,hold,False
2026-08-09 18:00:30.581490,02,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,sell,3,19.877,down,sell,True,True,sell,True
2026-08-09 18:00:40.594507,02,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,buy,2,9.103,down,sell,False,False,buy,True
2026-08-09 18:00:49.835441,02,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,sell,4,8.495,up,buy,False,False,sell,True
2026-08-09 18:01:03.401943,02,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,hold,4,12.782,flat,hold,True,True,hold,True
2026-08-09 18:01:10.514550,02,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,sell,3,6.335,down,sell,True,True,sell,True
2026-08-09 18:01:17.008061,02,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,buy,3,5.701,down,sell,False,False,buy,True
2026-08-09 18:01:24.306375,02,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,buy,2,6.502,up,buy,True,True,buy,True
2026-08-09 18:01:38.973052,02,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,buy,3,13.918,up,buy,True,True,buy,True
2026-08-09 18:02:04.213739,02,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,sell,2,20.149,down,sell,False,True,hold,False
2026-08-09 18:02:05.143349,02,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,sell,2,23.258,down,sell,False,True,hold,False
2026-08-09 18:02:18.023687,02,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,buy,4,11.849,flat,hold,True,False,hold,False
2026-08-09 18:02:29.379977,02,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,hold,3,10.327,down,sell,False,False,hold,True
2026-08-09 18:02:40.502190,02,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,sell,4,10.105,down,sell,True,True,sell,True
2026-08-09 18:03:01.060721,02,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,sell,4,19.546,flat,hold,True,False,hold,False
2026-08-09 18:03:14.505598,02,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,hold,4,12.392,flat,hold,False,True,buy,False
2026-08-09 18:03:24.398084,02,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,buy,2,8.883,up,buy,True,True,buy,True
2026-08-09 19:14:11.198425,05,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,4,17.633,down,sell,False,False,buy,False
2026-08-09 19:14:20.533774,05,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,buy,3,8.295,up,buy,False,True,sell,False
2026-08-09 19:14:25.221719,05,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,3.501,up,buy,False,False,hold,True
2026-08-09 19:14:27.918155,05,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,sell,3,2.316,flat,hold,False,False,sell,True
2026-08-09 19:14:30.557494,05,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,sell,3,2.242,up,buy,False,False,hold,False
2026-08-09 19:14:32.690893,05,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,buy,3,1.761,down,sell,True,False,sell,False
