fold_id,cadence,window_type,model,train_start,train_end,n_train_days,n_train_rows,test_start,test_end,n_test_days,n_test_rows,accuracy,f1_macro,log_loss
0,weekly,expanding,xgboost,2022-08-01,2022-08-26,20,1340,2022-08-29,2022-09-02,5,335,0.3432835820895522,0.3096374102427155,1.4084682864736426
1,weekly,expanding,xgboost,2022-08-01,2022-09-02,25,1675,2022-09-06,2022-09-12,5,335,0.3492537313432836,0.3498169007555741,1.3399094944167071
2,weekly,expanding,xgboost,2022-08-01,2022-09-12,30,2010,2022-09-13,2022-09-19,5,335,0.3671641791044776,0.3282433590581934,1.2290065091321636
3,weekly,expanding,xgboost,2022-08-01,2022-09-19,35,2345,2022-09-20,2022-09-26,5,335,0.373134328358209,0.3468959943725202,1.3210458007538282
4,weekly,expanding,xgboost,2022-08-01,2022-09-26,40,2680,2022-09-27,2022-10-03,5,335,0.4328358208955223,0.4020658571248396,1.188799581644914
5,weekly,expanding,xgboost,2022-08-01,2022-10-03,45,3015,2022-10-04,2022-10-10,5,335,0.3283582089552239,0.3108977111428532,1.2192179173116884
6,weekly,expanding,xgboost,2022-08-01,2022-10-10,50,3350,2022-10-11,2022-10-17,5,335,0.4298507462686567,0.4258201516532368,1.3336583170443932
7,weekly,expanding,xgboost,2022-08-01,2022-10-17,55,3685,2022-10-18,2022-10-24,5,335,0.2686567164179104,0.2409297849168124,1.5169782318789484
8,weekly,expanding,xgboost,2022-08-01,2022-10-24,60,4020,2022-10-25,2022-10-31,5,335,0.4029850746268656,0.3545922867929854,1.1138659957048218
9,weekly,expanding,xgboost,2022-08-01,2022-10-31,65,4355,2022-11-01,2022-11-07,5,335,0.244776119402985,0.2448161664218756,1.1968321055466873
10,weekly,expanding,xgboost,2022-08-01,2022-11-07,70,4690,2022-11-08,2022-11-14,5,335,0.3343283582089552,0.2978090559803394,1.2108882092173536
11,weekly,expanding,xgboost,2022-08-01,2022-11-14,75,5025,2022-11-15,2022-11-21,5,335,0.2805970149253731,0.21497747579767,1.1931533458661212
12,weekly,expanding,xgboost,2022-08-01,2022-11-21,80,5360,2022-11-22,2022-11-30,5,335,0.4537313432835821,0.3912168325129792,1.2303514834992406
13,weekly,expanding,xgboost,2022-08-01,2022-11-30,85,5695,2022-12-01,2022-12-07,5,335,0.2388059701492537,0.21294153766498,1.281462072023934
14,weekly,expanding,xgboost,2022-08-01,2022-12-07,90,6030,2022-12-08,2022-12-14,5,335,0.3850746268656716,0.3534556945004706,1.0803652675179898
15,weekly,expanding,xgboost,2022-08-01,2022-12-14,95,6365,2022-12-15,2022-12-21,5,335,0.3462686567164179,0.3325868123913726,1.1897640942987189
16,weekly,expanding,xgboost,2022-08-01,2022-12-21,100,6700,2022-12-22,2022-12-29,5,335,0.3194029850746269,0.2844805046246364,1.1472833071564656
17,weekly,expanding,xgboost,2022-08-01,2022-12-29,105,7035,2022-12-30,2023-01-06,5,335,0.2626865671641791,0.2630079472184735,1.173590170175856
18,weekly,expanding,xgboost,2022-08-01,2023-01-06,110,7370,2023-01-09,2023-01-13,5,335,0.3522388059701492,0.3035068621801028,1.12463207735772
19,weekly,expanding,xgboost,2022-08-01,2023-01-13,115,7705,2023-01-17,2023-01-23,5,335,0.3104477611940298,0.2847798533489851,1.1770934727873577
20,weekly,expanding,xgboost,2022-08-01,2023-01-23,120,8040,2023-01-24,2023-01-30,5,335,0.3671641791044776,0.3316832816567892,1.198805202030599
21,weekly,expanding,xgboost,2022-08-01,2023-01-30,125,8375,2023-01-31,2023-02-06,5,335,0.4656716417910447,0.3153730778261766,1.0929156984975537
22,weekly,expanding,xgboost,2022-08-01,2023-02-06,130,8710,2023-02-07,2023-02-13,5,335,0.4417910447761194,0.3853085011807993,1.157913572202155
23,weekly,expanding,xgboost,2022-08-01,2023-02-13,135,9045,2023-02-14,2023-02-21,5,335,0.5373134328358209,0.5149519782744691,1.0003329644268877
24,weekly,expanding,xgboost,2022-08-01,2023-02-21,140,9380,2023-02-22,2023-02-28,5,335,0.4029850746268656,0.3258629471619816,1.1499707719024397
25,weekly,expanding,xgboost,2022-08-01,2023-02-28,145,9715,2023-03-01,2023-03-07,5,335,0.373134328358209,0.2852790197052492,1.179907662426967
26,weekly,expanding,xgboost,2022-08-01,2023-03-07,150,10050,2023-03-08,2023-03-14,5,335,0.2805970149253731,0.2770353040290538,1.1545088223086948
27,weekly,expanding,xgboost,2022-08-01,2023-03-14,155,10385,2023-03-15,2023-03-21,5,335,0.3641791044776119,0.3575421655186373,1.0592498623860622
28,weekly,expanding,xgboost,2022-08-01,2023-03-21,160,10720,2023-03-22,2023-03-28,5,335,0.3940298507462687,0.3414565826330533,1.1312780368414783
29,weekly,expanding,xgboost,2022-08-01,2023-03-28,165,11055,2023-03-29,2023-04-04,5,335,0.4238805970149253,0.3842315157432498,1.117133741835328
30,weekly,expanding,xgboost,2022-08-01,2023-04-04,170,11390,2023-04-05,2023-04-12,5,335,0.582089552238806,0.3525476994335552,0.9406886429080744
31,weekly,expanding,xgboost,2022-08-01,2023-04-12,175,11725,2023-04-13,2023-04-19,5,335,0.591044776119403,0.4168439716312057,0.9584577450478556
32,weekly,expanding,xgboost,2022-08-01,2023-04-19,180,12060,2023-04-20,2023-04-26,5,335,0.4716417910447761,0.2841337819924543,1.2239991490654876
33,weekly,expanding,xgboost,2022-08-01,2023-04-26,185,12395,2023-04-27,2023-05-03,5,335,0.3134328358208955,0.2528756957328386,1.4754463493539598
34,weekly,expanding,xgboost,2022-08-01,2023-05-03,190,12730,2023-05-04,2023-05-10,5,335,0.5044776119402985,0.315755155655567,1.031606449535702
35,weekly,expanding,xgboost,2022-08-01,2023-05-10,195,13065,2023-05-11,2023-05-17,5,335,0.608955223880597,0.3269656109454351,0.9375945960911336
36,weekly,expanding,xgboost,2022-08-01,2023-05-17,200,13400,2023-05-18,2023-05-24,5,335,0.5552238805970149,0.4351553426248548,1.0191929009599812
37,weekly,expanding,xgboost,2022-08-01,2023-05-24,205,13735,2023-05-25,2023-06-01,5,335,0.435820895522388,0.3575182378616796,1.075061970955837
